OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,BLDGID,MEAN_AVGHT,Shape_Leng,donut,Field1,OID_,Time_UTC,Lat,Lon,Temp_K_,DewPoint_K_,RelHumid,Pressure,RadDir_Wm_2_,RadDiff_Wm_2_,LWRad,SWNorm,SWRad,WindDir_from_,WindSpeed_ms_1_,SnowDepth_cm_,x,coord,coord_X,coord_Y,T_F,BUFF_DIST,ORIG_FID,ORIG_FID_1,Shape_Area_1,Shape_Length,Shape_Area
24,1,23,24,34.000000000000000,2.990000000000000,0.000706393700629,0,276,276,2015-01-01_00:00:00,41.868710000000000,-87.628692999999998,268.069855000000020,254.837539999999990,33.838459000000000,100109.593750000000000,0,0,181.899796000000010,0,0,240.272568000000010,7.669363000000000,0,NA,41.86871 -87.628693,-87.628692999999998,41.868710000000000,22.855739000000000,45.000000000000000,276,276,0.000000878412175,0.003788720000102,0.000000015602966
25,2,24,25,35.000000000000000,9.010000000000000,0.000706228955602,0,275,275,2015-01-01_00:00:00,41.868710000000000,-87.629822000000004,268.065674000000000,254.834533999999990,33.844329999999999,100103.218750000000000,0,0,181.916991999999990,0,0,240.499466000000010,7.714350000000000,0,NA,41.86871 -87.629822;41.86871 -87.628693,-87.629822000000004,41.868710000000000,22.848213200000000,45.000000000000000,275,275,0.000000878412175,0.003788720000102,0.000000021084809
26,1,25,26,36.000000000000000,8.420000000000000,0.000706229836244,0,276,276,2015-01-01_00:00:00,41.868710000000000,-87.628692999999998,268.069855000000020,254.837539999999990,33.838459000000000,100109.593750000000000,0,0,181.899796000000010,0,0,240.272568000000010,7.669363000000000,0,NA,41.86871 -87.628693,-87.628692999999998,41.868710000000000,22.855739000000000,45.000000000000000,276,276,0.000000878412175,0.003788720000102,0.000000021084842
27,2,26,27,37.000000000000000,22.359999999999999,0.001773967307650,0,256,256,2015-01-01_00:00:00,41.867870000000003,-87.626403999999994,268.076873999999980,254.845337000000000,33.842334999999999,100124.679688000000000,0,0,181.862213000000000,0,0,239.700774999999990,7.575788000000000,0,NA,41.86787 -87.626404;41.868725 -87.626404,-87.626403999999994,41.867870000000003,22.868373200000001,45.000000000000000,256,256,0.000000878399211,0.003788687999986,0.000000174010379
28,2,27,28,38.000000000000000,8.900000000000000,0.000597500868772,0,275,275,2015-01-01_00:00:00,41.868710000000000,-87.629822000000004,268.065674000000000,254.834533999999990,33.844329999999999,100103.218750000000000,0,0,181.916991999999990,0,0,240.499466000000010,7.714350000000000,0,NA,41.86871 -87.629822;41.86871 -87.628693,-87.629822000000004,41.868710000000000,22.848213200000000,45.000000000000000,275,275,0.000000878412175,0.003788720000102,0.000000011558494
29,1,28,29,39.000000000000000,8.789999999999999,0.000597501763066,0,276,276,2015-01-01_00:00:00,41.868710000000000,-87.628692999999998,268.069855000000020,254.837539999999990,33.838459000000000,100109.593750000000000,0,0,181.899796000000010,0,0,240.272568000000010,7.669363000000000,0,NA,41.86871 -87.628693,-87.628692999999998,41.868710000000000,22.855739000000000,45.000000000000000,276,276,0.000000878412175,0.003788720000102,0.000000011558607
30,1,29,30,41.000000000000000,33.280000000000001,0.001274234192980,0,270,270,2015-01-01_00:00:00,41.868675000000003,-87.635529000000005,268.038054999999990,254.816711000000000,33.893313999999997,100071.406250000000000,0,0,181.991806000000000,0,0,241.609680000000000,7.959800000000000,0,NA,41.868675 -87.635529,-87.635529000000005,41.868675000000003,22.798499000000000,45.000000000000000,270,270,0.000000878410555,0.003788715999917,0.000000101130745
31,1,30,31,45.000000000000000,6.860000000000000,0.000434665471683,0,277,277,2015-01-01_00:00:00,41.868716999999997,-87.627562999999995,268.076477000000010,254.841736000000000,33.826279000000000,100116.406250000000000,0,0,181.885422000000010,0,0,240.059386999999990,7.627532000000000,0,NA,41.868717 -87.627563,-87.627562999999995,41.868716999999997,22.867658599999999,45.000000000000000,277,277,0.000000878412175,0.003788719999875,0.000000011173936
32,3,31,32,46.000000000000000,12.510000000000000,0.004966838818470,0,252,252,2015-01-01_00:00:00,41.867851000000002,-87.630950999999996,268.057404000000020,254.831863000000000,33.872275999999999,100097.992188000000000,0,0,181.923676000000000,0,0,240.642670000000010,7.748791000000000,0,NA,41.867851 -87.630951;41.86869 -87.632111;41.868694 -87.630981,-87.630950999999996,41.867851000000002,22.833327199999999,45.000000000000000,252,252,0.000000878399211,0.003788687999986,0.000001115397434
33,1,32,33,48.000000000000000,7.480000000000000,0.000416497035100,0,277,277,2015-01-01_00:00:00,41.868716999999997,-87.627562999999995,268.076477000000010,254.841736000000000,33.826279000000000,100116.406250000000000,0,0,181.885422000000010,0,0,240.059386999999990,7.627532000000000,0,NA,41.868717 -87.627563,-87.627562999999995,41.868716999999997,22.867658599999999,45.000000000000000,277,277,0.000000878412175,0.003788719999875,0.000000009758799
